episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,player_name,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
1388,9603,"[0, 3, 2, 1, 2]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,6,5,7,3,9,4,10,4,4,13,6,13,7,11,9,12,9,13
1388,9604,"[0, 1, 1, 0, 0]",0.0,5,3,13,3,13,not_applicable,False,0,0,"{'base': 0.28, 'final': 0.28, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,6,3,7,5,7,2,9,3,11,4,3,13,7,13,8,11,8,12,8,13
1388,9605,"[5, 0, 1, 3, 3]",0.0,6,6,13,6,13,not_applicable,False,0,0,"{'base': 0.42, 'final': 0.42, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,7,3,7,6,6,2,9,4,11,5,3,13,6,13,9,11,8,12,8,13
1388,9606,"[3, 1, 2, 1, 3]",0.0,6,7,13,7,13,not_applicable,False,0,0,"{'base': 0.46, 'final': 0.46, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,7,4,7,7,6,3,9,5,10,5,3,13,7,13,9,10,9,12,8,13
1388,9607,"[0, 1, 0, 0, 0]",0.0,6,7,13,7,13,not_applicable,False,0,0,"{'base': 0.46, 'final': 0.46, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kawhi_leonard,6,4,7,8,5,3,9,6,10,6,2,13,7,13,8,10,8,12,8,13
1388,9608,"[0, 5, 1, 1, 1]",0.0,8,9,12,9,12,not_applicable,False,0,0,"{'base': 0.2, 'final': 0.2, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,7,4,7,9,4,3,9,7,10,7,1,13,7,13,9,10,9,12,9,13
1388,9609,"[3, 3, 3, 3, 3]",0.0,8,9,12,9,12,not_applicable,False,0,0,"{'base': 0.2, 'final': 0.2, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,7,5,7,10,4,4,8,7,11,7,1,13,7,13,9,11,9,12,9,13
1388,9610,"[3, 1, 3, 4, 1]",0.0,8,9,12,9,12,shot_failed,True,0,0,"{'base': 0.2, 'final': 0.2, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,6,5,7,11,5,4,8,8,11,6,1,13,8,13,9,11,9,12,10,13
1389,9611,"[5, 2, 1, 0, 1]",0.0,7,7,13,7,13,not_applicable,False,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,5,2,6,4,6,3,8,4,10,3,5,13,6,12,7,13,8,13,10,13
1389,9612,"[3, 2, 4, 3, 0]",1.1399999856948853,7,7,13,7,13,shot_successful,True,3,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,5,1,7,4,6,4,8,3,10,4,5,13,6,11,7,13,8,13,9,13
1390,9613,"[1, 3, 1, 0, 3]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,6,4,6,3,7,3,9,4,5,13,6,13,7,13,8,13,9,13
1390,9614,"[5, 1, 0, 3, 2]",0.0,9,9,12,9,12,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,3,5,4,6,4,6,3,8,4,5,13,6,13,7,13,8,13,9,12
1390,9615,"[0, 2, 0, 1, 1]",0.0,9,10,12,10,12,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,4,3,4,4,5,4,7,3,7,4,4,13,6,12,6,13,9,13,10,12
1390,9616,"[1, 3, 2, 1, 2]",0.0,9,10,11,10,11,not_applicable,False,0,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,4,2,4,5,6,4,6,3,8,4,5,13,6,12,6,13,10,13,10,11
1390,9617,"[1, 0, 0, 1, 4]",1.440000057220459,9,10,11,10,11,shot_successful,True,3,0,"{'base': 0.48, 'final': 0.48, 'penalty': 0, 'defense_count': 0, 'defenders': []}",ivica_zubac,5,2,4,4,6,5,7,3,8,5,5,13,5,12,6,13,11,13,10,11
1391,9618,"[0, 1, 0, 1, 1]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,2,6,2,7,4,7,3,9,2,4,13,6,13,7,13,8,13,10,13
1391,9619,"[2, 3, 2, 0, 3]",0.0,5,4,12,4,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,2,6,3,7,5,8,3,10,2,4,12,6,13,7,12,7,13,10,13
1391,9620,"[4, 0, 1, 2, 0]",0.7799999713897705,5,4,12,4,12,shot_successful,True,3,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,4,3,6,4,8,5,9,3,10,3,4,12,5,13,8,12,7,12,9,13
1392,9621,"[5, 0, 0, 1, 0]",0.0,8,8,13,8,13,not_applicable,False,0,0,"{'base': 0.22, 'final': 0.22, 'penalty': 0, 'defense_count': 0, 'defenders': []}",kris_dunn,5,2,6,4,6,3,8,2,9,2,5,13,6,13,7,13,8,13,9,13
1392,9622,"[3, 1, 1, 5, 1]",0.0,7,7,13,7,13,not_applicable,False,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,4,2,6,5,6,2,8,1,9,1,5,13,6,13,7,13,8,13,10,13
1392,9623,"[2, 3, 4, 3, 0]",0.0,7,7,13,7,13,shot_failed,True,0,0,"{'base': 0.38, 'final': 0.38, 'penalty': 0, 'defense_count': 0, 'defenders': []}",norman_powell,3,2,6,6,6,3,7,1,9,2,5,12,6,13,7,13,8,13,9,13
1393,9624,"[3, 1, 2, 3, 3]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,4,6,4,6,3,7,3,8,3,5,13,6,13,7,12,8,13,9,13
1393,9625,"[2, 2, 3, 2, 2]",0.0,5,5,12,5,12,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,5,3,5,4,6,4,7,2,9,3,5,12,6,12,7,13,8,12,9,12
1393,9626,"[2, 1, 0, 2, 0]",0.0,5,5,11,5,11,not_applicable,False,0,0,"{'base': 0.26, 'final': 0.26, 'penalty': 0, 'defense_count': 0, 'defenders': []}",james_harden,6,3,4,4,7,4,7,3,10,3,5,11,7,12,6,13,8,11,8,12
