episode,step,action,reward,player_idx,player_row,player_col,ball_row,ball_col,shot,done,score_red,score_blue,prob_info,p0_row,p0_col,p1_row,p1_col,p2_row,p2_col,p3_row,p3_col,p4_row,p4_col,p5_row,p5_col,p6_row,p6_col,p7_row,p7_col,p8_row,p8_col,p9_row,p9_col
68,332,"[1, 0, 2, 2, 0]",0.0,6,6,12,6,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,7,8,3,7,3,5,2,10,4,6,10,6,12,10,11,12,12,13,13
68,333,"[3, 2, 3, 1, 2]",0.0,6,6,12,6,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,8,8,2,7,2,5,1,10,5,6,11,6,12,10,12,13,12,13,13
68,334,"[1, 3, 3, 1, 2]",0.0,6,6,13,6,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,8,8,3,8,2,5,0,10,4,7,11,6,13,10,13,14,12,13,12
68,335,"[2, 1, 0, 1, 2]",0.0,6,7,13,7,13,not_applicable,False,0,0,"{'base': np.float64(0.2074101705543697), 'final': np.float64(0.2074101705543697), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,9,9,3,7,2,6,0,9,4,7,10,7,13,9,13,14,12,13,11
68,336,"[2, 3, 1, 1, 0]",0.0,6,7,13,7,13,not_applicable,False,0,0,"{'base': np.float64(0.2074101705543697), 'final': np.float64(0.2074101705543697), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,9,8,3,7,3,6,1,9,3,7,9,7,13,10,13,14,12,12,11
68,337,"[2, 1, 1, 2, 1]",0.0,6,8,13,8,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,8,8,2,6,3,6,0,10,3,7,8,8,13,11,13,14,11,13,11
68,338,"[0, 2, 2, 2, 3]",0.0,6,8,12,8,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,7,9,2,5,3,5,0,10,4,6,8,8,12,11,12,14,10,13,12
68,339,"[2, 1, 3, 2, 3]",0.0,6,9,12,9,12,not_applicable,False,0,0,"{'base': np.float64(0.23257689450206726), 'final': np.float64(0.23257689450206726), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,6,10,2,5,4,6,0,9,4,6,7,9,12,11,13,14,9,13,13
68,340,"[2, 1, 1, 3, 0]",0.0,6,10,12,10,12,not_applicable,False,0,0,"{'base': np.float64(0.22618655352128306), 'final': np.float64(0.22618655352128306), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,6,11,2,5,5,5,0,9,3,6,6,10,12,12,13,14,10,13,13
68,341,"[2, 3, 3, 0, 3]",0.0,6,10,13,10,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,6,11,3,5,4,5,1,10,3,6,5,10,13,12,13,13,10,13,13
68,342,"[1, 1, 2, 3, 0]",0.0,6,11,13,11,13,not_applicable,False,0,0,"{'base': np.float64(0.19091176472502752), 'final': np.float64(0.19091176472502752), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,6,11,2,5,5,5,0,10,2,7,5,11,13,12,12,13,11,12,13
68,343,"[0, 5, 2, 1, 0]",0.0,8,14,11,14,11,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,6,12,2,4,5,5,1,10,3,6,5,11,13,12,11,14,11,12,13
68,344,"[2, 3, 0, 3, 3]",0.0,8,14,12,14,12,not_applicable,False,0,0,"{'base': np.float64(0.18342377738973603), 'final': np.float64(0.18342377738973603), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,6,13,2,3,5,6,1,11,3,6,4,11,13,11,11,14,12,12,13
68,345,"[0, 2, 0, 4, 2]",0.0,8,14,12,14,12,shot_failed,True,0,0,"{'base': np.float64(0.18342377738973603), 'final': np.float64(0.18342377738973603), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,6,13,3,3,4,7,1,11,4,5,4,11,12,10,11,14,12,12,12
69,346,"[0, 2, 0, 2, 3]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,4,6,4,6,3,8,4,9,4,4,13,6,12,6,13,8,12,9,13
69,347,"[3, 2, 1, 0, 0]",0.0,5,4,13,4,13,not_applicable,False,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,5,7,4,5,3,8,3,9,3,4,13,6,11,7,13,7,12,8,13
69,348,"[5, 1, 0, 2, 3]",-1.0,5,4,13,4,13,intercepted_pass,True,0,0,"{'base': np.float64(0.1978696081563825), 'final': np.float64(0.1978696081563825), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,5,7,4,5,3,8,3,9,3,4,13,6,11,7,13,7,12,8,13
70,349,"[3, 2, 2, 1, 0]",0.0,5,5,13,5,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",5,2,6,2,7,2,8,2,9,2,5,13,6,12,7,12,8,13,9,13
70,350,"[1, 0, 2, 3, 3]",0.0,5,6,13,6,13,not_applicable,False,0,0,"{'base': np.float64(0.20631563059364366), 'final': np.float64(0.20631563059364366), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,2,5,2,7,1,8,3,10,2,6,13,5,12,7,11,8,13,9,13
70,351,"[2, 3, 2, 2, 3]",0.0,5,6,12,6,12,not_applicable,False,0,0,"{'base': np.float64(0.23654018528566523), 'final': np.float64(0.23654018528566523), 'penalty': 0, 'defense_count': 0, 'defenders': []}",4,1,5,3,7,2,8,4,11,2,6,12,5,13,7,10,8,12,9,13
70,352,"[5, 2, 3, 0, 3]",0.0,9,9,13,9,13,not_applicable,False,0,0,"{'base': np.float64(0.20308447542151253), 'final': np.float64(0.20308447542151253), 'penalty': 0, 'defense_count': 0, 'defenders': []}",3,1,5,2,7,3,8,5,11,1,6,12,5,12,7,11,7,12,9,13
